PLAYER,PTS,Salary,Position,NewPts
A.J. Green,12.7,7600,WR,12.7
Adam Humphries,3.7,3200,WR,3.7
Albert Wilson,3.6,3000,WR,3.6
Allen Hurns,8.4,5800,WR,8.4
Bears,7,2200,Defense,7
Allen Robinson,11,6700,WR,16.5
Adrian Peterson,12.9,7100,RB,12.9
Alshon Jeffery,11.3,7100,WR,11.3
Austin Seferian-Jenkins,4.2,2800,TE,4.2
Alfred Blue,5.9,4000,RB,5.9
Amari Cooper,8.6,6800,WR,10.75
Alfred Morris,4.5,3300,RB,4.5
Benjamin Watson,5.9,4300,TE,5.9
Andrew Hawkins,3.9,3000,WR,3.9
Antonio Brown,10.1,8800,WR,10.1
Charles Clay,5.5,4100,TE,5.5
Andre Ellington,4.1,3700,RB,4.1
Brandin Cooks,8,6000,WR,10
Antonio Andrews,8.6,3700,RB,8.6
Brandon LaFell,9.1,4100,WR,9.1
Brandon Marshall,10.7,7400,WR,10.7
Brian Hartline,4,3000,WR,4
Bilal Powell,5.5,3000,RB,5.5
Brian Quick,3,3000,WR,3
Calvin Johnson,10.6,7500,WR,10.6
Crockett Gillmore,4.7,2800,TE,4.7
Cecil Shorts III,5.3,3000,WR,5.3
Chris Givens,5,3200,WR,5
Delanie Walker,6.7,4700,TE,8.375
C.J. Anderson,8.6,3800,RB,8.6
Bengals,7,3300,Defense,7
Chris Hogan,3,3500,WR,3
C.J. Spiller,6.5,3000,RB,6.5
Charcandrick West,7.4,4800,RB,7.4
Corey Brown,3.5,3100,WR,3.5
Danny Amendola,4.7,4000,WR,4.7
Charles Sims,5,3500,RB,5
Chris Ivory,10.4,5900,RB,10.4
Eric Ebron,5.8,3300,TE,7.25
Bills,6.2,2900,Defense,6.2
Chris Johnson,8.5,4600,RB,6.375
Davante Adams,8,4200,WR,8
Broncos,10.5,3400,Defense,10.5
Gary Barnidge,8.6,4800,TE,12.9
Greg Olsen,8,6300,TE,8
Chris Polk,3.8,3200,RB,3.8
DeAndre Hopkins,12.2,8700,WR,12.2
Chris Thompson,5.4,3200,RB,5.4
Demaryius Thomas,12,7400,WR,12
Browns,5.3,2000,Defense,5.3
DeSean Jackson,7.2,5400,WR,7.2
Dez Bryant,8.8,7800,WR,8.8
Buccaneers,6.7,2500,Defense,6.7
Dorial Green-Beckham,5.5,3200,WR,5.5
Doug Baldwin,5.2,3400,WR,5.2
Christine Michael,3.1,3000,RB,3.1
Heath Miller,3.7,3000,TE,2.775
Darren McFadden,13.2,4900,RB,13.2
Dwayne Harris,4.5,3600,WR,4.5
Emmanuel Sanders,11,7300,WR,11
Eric Decker,9,5300,WR,9
Darren Sproles,5.5,3600,RB,5.5
Cardinals,10,3900,Defense,12.5
DeAngelo Williams,15.5,6500,RB,23.25
Jared Cook,3.1,2500,TE,3.1
Golden Tate,6.7,4600,WR,6.7
DeMarco Murray,13.6,6200,RB,17
Dexter McCluster,4.4,3300,RB,4.4
Harry Douglas,5.5,3200,WR,5.5
Jason Witten,5.9,5100,TE,5.9
Jimmy Graham,7.4,4900,TE,5.55
Jordan Cameron,5.6,2700,TE,4.2
Doug Martin,10.5,5600,RB,13.125
Jordan Reed,8.1,4600,TE,10.125
Duke Johnson Jr.,7.1,4000,RB,7.1
Julius Thomas,5,3700,TE,3.75
Chiefs,4.8,2600,Defense,4.8
James Jones,7.1,5300,WR,7.1
Jamison Crowder,5.7,3500,WR,5.7
Kyle Rudolph,4.1,3000,TE,5.125
Cowboys,6.7,2500,Defense,6.7
Eddie Lacy,10.9,5500,RB,10.9
Larry Donnell,6,2700,TE,6
Jarvis Landry,8.9,6700,WR,11.125
Jeremy Kerley,3.1,3000,WR,3.1
Giovani Bernard,10.6,4700,RB,10.6
Dolphins,6.4,2500,Defense,4.8
Eagles,8.3,2700,Defense,8.3
Martellus Bennett,7.3,4700,TE,5.475
Jeremy Maclin,8.6,5500,WR,6.45
Jermaine Kearse,4.1,3100,WR,4.1
Jaguars,4.9,2600,Defense,4.9
Jets,9.6,3000,Defense,9.6
Packers,9.5,3200,Defense,9.5
Panthers,9.1,3300,Defense,13.65
John Brown,8,5500,WR,8
Isaiah Crowell,4.7,3400,RB,4.7
James Starks,8.7,4900,RB,8.7
Jordan Matthews,8.6,6200,WR,8.6
Richard Rodgers,6.5,3000,TE,6.5
Patriots,7.4,3200,Defense,7.4
Raiders,5.4,2100,Defense,5.4
Rob Gronkowski,11.8,8000,TE,11.8
James White,4.7,3000,RB,4.7
Julian Edelman,12.2,8200,WR,12.2
Justin Hunter,4.2,3100,WR,4.2
Kamar Aiken,7.8,4500,WR,7.8
Kenny Britt,4.1,3600,WR,4.1
Scott Chandler,3.5,2500,TE,3.5
Kenny Stills,3.8,3100,WR,3.8
Lance Moore,3,3000,WR,3
Larry Fitzgerald,9.6,7400,WR,7.2
Markus Wheaton,3,3000,WR,3
Marlon Brown,5.4,3600,WR,5.4
Marqise Lee,3.1,3000,WR,3.1
Travis Kelce,6.3,4800,TE,6.3
Marques Colston,5.4,3400,WR,5.4
Rams,11.8,3600,Defense,14.75
Marquess Wilson,4.8,3800,WR,4.8
Martavis Bryant,6.6,5500,WR,6.6
Ravens,7.4,2800,Defense,9.25
Javorius Allen,4.6,3300,RB,4.6
Marvin Jones,6.6,4300,WR,6.6
Michael Crabtree,10.6,5800,WR,10.6
Tyler Eifert,8.6,5800,TE,8.6
Michael Floyd,5.8,3800,WR,5.8
Vernon Davis,4.9,2500,TE,4.9
Jeremy Hill,9.9,5300,RB,12.375
Jeremy Langford,9.1,4800,RB,9.1
Joique Bell,6.1,3200,RB,6.1
Mike Evans,9.1,6800,WR,6.825
Mike Wallace,6.2,3700,WR,6.2
Mohamed Sanu,3.9,3000,WR,3.9
Jonathan Grimes,3.5,3000,RB,3.5
Saints,4.5,2300,Defense,4.5
Nate Washington,7.6,4400,WR,7.6
Jonathan Stewart,11.1,4300,RB,8.325
Nelson Agholor,4.2,3400,WR,4.2
Justin Forsett,14,6000,RB,17.5
Seahawks,6.8,3500,Defense,6.8
Odell Beckham Jr.,12,8800,WR,12
Ka'Deem Carey,3.8,3000,RB,3.8
Steelers,8.5,3000,Defense,8.5
Karlos Williams,4.8,3800,RB,4.8
Texans,3.1,2600,Defense,2.325
Lamar Miller,9.6,5400,RB,9.6
Pierre Garcon,7.5,4800,WR,7.5
Latavius Murray,10,5700,RB,10
Titans,6.8,2200,Defense,6.8
LeGarrette Blount,11.4,4900,RB,11.4
Randall Cobb,11.2,6700,WR,11.2
Rishard Matthews,7.5,4700,WR,7.5
LeSean McCoy,7.2,5500,RB,7.2
Robert Woods,5.5,3600,WR,5.5
Aaron Rodgers,22.8,7500,QB,22.8
Marcel Reece,3.3,3500,RB,3.3
Mark Ingram,13,6400,RB,13
Rueben Randle,6.7,3900,WR,6.7
Sammy Watkins,8.1,5000,WR,6.075
Marshawn Lynch,10.8,6700,RB,10.8
Stefon Diggs,8.4,5100,WR,10.5
Tavon Austin,8.1,4800,WR,8.1
Alex Smith,13.3,5000,QB,13.3
Matt Jones,9.3,3300,RB,9.3
Vikings,5.6,2800,Defense,4.2
Zach Ertz,6.1,3000,TE,6.1
Andy Dalton,19,6500,QB,23.75
Ted Ginn Jr.,6.2,3400,WR,6.2
Terrance Williams,4.7,3800,WR,4.7
Travis Benjamin,8.2,5200,WR,8.2
Tyler Lockett,5.3,3000,WR,5.3
Blake Bortles,17.6,5600,QB,17.6
Willie Snead,8,4900,WR,8
Brian Hoyer,15.3,5400,QB,19.125
Rashad Jennings,5.2,3800,RB,3.9
Ronnie Hillman,6.6,4000,RB,4.95
Cam Newton,17.3,7000,QB,25.95
Ryan Mathews,5.7,3500,RB,5.7
Carson Palmer,15.8,6900,QB,15.8
Shane Vereen,5.6,4300,RB,5.6
Derek Carr,17.3,5800,QB,21.625
Drew Brees,17.8,7400,QB,17.8
Eli Manning,15.9,6700,QB,15.9
T.J. Yeldon,9,4800,RB,6.75
Jameis Winston,11.3,5000,QB,11.3
Jay Cutler,13.2,5100,QB,9.9
Joe Flacco,14.9,5500,QB,14.9
Josh McCown,13.9,5000,QB,13.9
Kirk Cousins,15.8,5200,QB,19.75
Landry Jones,12.3,5300,QB,12.3
Marcus Mariota,13.7,5300,QB,10.275
Theo Riddick,5.7,3300,RB,5.7
Matt Cassel,11.9,5000,QB,11.9
Matthew Stafford,14,5400,QB,14
Nick Foles,10.7,5000,QB,10.7
Peyton Manning,15.8,6200,QB,15.8
Todd Gurley,17.2,7300,RB,17.2
Russell Wilson,15.3,5900,QB,11.475
Ryan Fitzpatrick,15.3,5100,QB,15.3
Ryan Tannehill,14.4,5300,QB,10.8
Sam Bradford,13.6,5700,QB,13.6
Teddy Bridgewater,12.8,5100,QB,12.8
Tom Brady,22.4,8600,QB,22.4
Tyrod Taylor,14.6,5500,QB,10.95
