PLAYER,NewPts,Salary,Position
A.J. Green,12.7,7600,WR
Adam Humphries,3.7,3200,WR
Albert Wilson,3.6,3000,WR
Allen Hurns,8.4,5800,WR
Bears,7,2200,Defense
Allen Robinson,16.5,6700,WR
Adrian Peterson,12.9,7100,RB
Alshon Jeffery,11.3,7100,WR
Austin Seferian-Jenkins,4.2,2800,TE
Alfred Blue,5.9,4000,RB
Amari Cooper,10.75,6800,WR
Alfred Morris,4.5,3300,RB
Benjamin Watson,5.9,4300,TE
Andrew Hawkins,3.9,3000,WR
Antonio Brown,10.1,8800,WR
Charles Clay,5.5,4100,TE
Andre Ellington,4.1,3700,RB
Brandin Cooks,10,6000,WR
Antonio Andrews,8.6,3700,RB
Brandon LaFell,9.1,4100,WR
Brandon Marshall,10.7,7400,WR
Brian Hartline,4,3000,WR
Bilal Powell,5.5,3000,RB
Brian Quick,3,3000,WR
Calvin Johnson,10.6,7500,WR
Crockett Gillmore,4.7,2800,TE
Cecil Shorts III,5.3,3000,WR
Chris Givens,5,3200,WR
Delanie Walker,8.375,4700,TE
C.J. Anderson,8.6,3800,RB
Bengals,7,3300,Defense
Chris Hogan,3,3500,WR
C.J. Spiller,6.5,3000,RB
Charcandrick West,7.4,4800,RB
Corey Brown,3.5,3100,WR
Danny Amendola,4.7,4000,WR
Charles Sims,5,3500,RB
Chris Ivory,10.4,5900,RB
Eric Ebron,7.25,3300,TE
Bills,6.2,2900,Defense
Chris Johnson,6.375,4600,RB
Davante Adams,8,4200,WR
Broncos,10.5,3400,Defense
Gary Barnidge,12.9,4800,TE
Greg Olsen,8,6300,TE
Chris Polk,3.8,3200,RB
DeAndre Hopkins,12.2,8700,WR
Chris Thompson,5.4,3200,RB
Demaryius Thomas,12,7400,WR
Browns,5.3,2000,Defense
DeSean Jackson,7.2,5400,WR
Dez Bryant,8.8,7800,WR
Buccaneers,6.7,2500,Defense
Dorial Green-Beckham,5.5,3200,WR
Doug Baldwin,5.2,3400,WR
Christine Michael,3.1,3000,RB
Heath Miller,2.775,3000,TE
Darren McFadden,13.2,4900,RB
Dwayne Harris,4.5,3600,WR
Emmanuel Sanders,11,7300,WR
Eric Decker,9,5300,WR
Darren Sproles,5.5,3600,RB
Cardinals,12.5,3900,Defense
DeAngelo Williams,23.25,6500,RB
Jared Cook,3.1,2500,TE
Golden Tate,6.7,4600,WR
DeMarco Murray,17,6200,RB
Dexter McCluster,4.4,3300,RB
Harry Douglas,5.5,3200,WR
Jason Witten,5.9,5100,TE
Jimmy Graham,5.55,4900,TE
Jordan Cameron,4.2,2700,TE
Doug Martin,13.125,5600,RB
Jordan Reed,10.125,4600,TE
Duke Johnson Jr.,7.1,4000,RB
Julius Thomas,3.75,3700,TE
Chiefs,4.8,2600,Defense
James Jones,7.1,5300,WR
Jamison Crowder,5.7,3500,WR
Kyle Rudolph,5.125,3000,TE
Cowboys,6.7,2500,Defense
Eddie Lacy,10.9,5500,RB
Larry Donnell,6,2700,TE
Jarvis Landry,11.125,6700,WR
Jeremy Kerley,3.1,3000,WR
Giovani Bernard,10.6,4700,RB
Dolphins,4.8,2500,Defense
Eagles,8.3,2700,Defense
Martellus Bennett,5.475,4700,TE
Jeremy Maclin,6.45,5500,WR
Jermaine Kearse,4.1,3100,WR
Jaguars,4.9,2600,Defense
Jets,9.6,3000,Defense
Packers,9.5,3200,Defense
Panthers,13.65,3300,Defense
John Brown,8,5500,WR
Isaiah Crowell,4.7,3400,RB
James Starks,8.7,4900,RB
Jordan Matthews,8.6,6200,WR
Richard Rodgers,6.5,3000,TE
Patriots,7.4,3200,Defense
Raiders,5.4,2100,Defense
Rob Gronkowski,11.8,8000,TE
James White,4.7,3000,RB
Julian Edelman,12.2,8200,WR
Justin Hunter,4.2,3100,WR
Kamar Aiken,7.8,4500,WR
Kenny Britt,4.1,3600,WR
Scott Chandler,3.5,2500,TE
Kenny Stills,3.8,3100,WR
Lance Moore,3,3000,WR
Larry Fitzgerald,7.2,7400,WR
Markus Wheaton,3,3000,WR
Marlon Brown,5.4,3600,WR
Marqise Lee,3.1,3000,WR
Travis Kelce,6.3,4800,TE
Marques Colston,5.4,3400,WR
Rams,14.75,3600,Defense
Marquess Wilson,4.8,3800,WR
Martavis Bryant,6.6,5500,WR
Ravens,9.25,2800,Defense
Javorius Allen,4.6,3300,RB
Marvin Jones,6.6,4300,WR
Michael Crabtree,10.6,5800,WR
Tyler Eifert,8.6,5800,TE
Michael Floyd,5.8,3800,WR
Vernon Davis,4.9,2500,TE
Jeremy Hill,12.375,5300,RB
Jeremy Langford,9.1,4800,RB
Joique Bell,6.1,3200,RB
Mike Evans,6.825,6800,WR
Mike Wallace,6.2,3700,WR
Mohamed Sanu,3.9,3000,WR
Jonathan Grimes,3.5,3000,RB
Saints,4.5,2300,Defense
Nate Washington,7.6,4400,WR
Jonathan Stewart,8.325,4300,RB
Nelson Agholor,4.2,3400,WR
Justin Forsett,17.5,6000,RB
Seahawks,6.8,3500,Defense
Odell Beckham Jr.,12,8800,WR
Ka'Deem Carey,3.8,3000,RB
Steelers,8.5,3000,Defense
Karlos Williams,4.8,3800,RB
Texans,2.325,2600,Defense
Lamar Miller,9.6,5400,RB
Pierre Garcon,7.5,4800,WR
Latavius Murray,10,5700,RB
Titans,6.8,2200,Defense
LeGarrette Blount,11.4,4900,RB
Randall Cobb,11.2,6700,WR
Rishard Matthews,7.5,4700,WR
LeSean McCoy,7.2,5500,RB
Robert Woods,5.5,3600,WR
Aaron Rodgers,22.8,7500,QB
Marcel Reece,3.3,3500,RB
Mark Ingram,13,6400,RB
Rueben Randle,6.7,3900,WR
Sammy Watkins,6.075,5000,WR
Marshawn Lynch,10.8,6700,RB
Stefon Diggs,10.5,5100,WR
Tavon Austin,8.1,4800,WR
Alex Smith,13.3,5000,QB
Matt Jones,9.3,3300,RB
Vikings,4.2,2800,Defense
Zach Ertz,6.1,3000,TE
Andy Dalton,23.75,6500,QB
Ted Ginn Jr.,6.2,3400,WR
Terrance Williams,4.7,3800,WR
Travis Benjamin,8.2,5200,WR
Tyler Lockett,5.3,3000,WR
Blake Bortles,17.6,5600,QB
Willie Snead,8,4900,WR
Brian Hoyer,19.125,5400,QB
Rashad Jennings,3.9,3800,RB
Ronnie Hillman,4.95,4000,RB
Cam Newton,25.95,7000,QB
Ryan Mathews,5.7,3500,RB
Carson Palmer,15.8,6900,QB
Shane Vereen,5.6,4300,RB
Derek Carr,21.625,5800,QB
Drew Brees,17.8,7400,QB
Eli Manning,15.9,6700,QB
T.J. Yeldon,6.75,4800,RB
Jameis Winston,11.3,5000,QB
Jay Cutler,9.9,5100,QB
Joe Flacco,14.9,5500,QB
Josh McCown,13.9,5000,QB
Kirk Cousins,19.75,5200,QB
Landry Jones,12.3,5300,QB
Marcus Mariota,10.275,5300,QB
Theo Riddick,5.7,3300,RB
Matt Cassel,11.9,5000,QB
Matthew Stafford,14,5400,QB
Nick Foles,10.7,5000,QB
Peyton Manning,15.8,6200,QB
Todd Gurley,17.2,7300,RB
Russell Wilson,11.475,5900,QB
Ryan Fitzpatrick,15.3,5100,QB
Ryan Tannehill,10.8,5300,QB
Sam Bradford,13.6,5700,QB
Teddy Bridgewater,12.8,5100,QB
